測位方式,測位回数(0:無限),測位タイムアウト,測位間隔,minTime,SUPLEND待ち時間,アシストデータ削除時間,アシストデータ削除有無
Tracking,0,60,75,0,0,3,true,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
19:09:26.248,19:09:26.247,true,35.22401354,139.67288418,1.18,5.9656844,1626170965813,2021-07-13T19:09:25GMT+09:00
19:09:26.609,19:09:26.609,true,35.22401843,139.67289514,0.361,7.287033,1626170966692,2021-07-13T19:09:26GMT+09:00
19:09:27.643,19:09:27.643,true,35.22403045,139.6728117,1.034,10.262171,1626170967587,2021-07-13T19:09:27GMT+09:00
19:09:28.636,19:09:28.636,true,35.22404567,139.67277017,0.993,7.8711047,1626170968616,2021-07-13T19:09:28GMT+09:00
19:09:29.634,19:09:29.634,true,35.22409495,139.67278082,0.998,6.540439,1626170969611,2021-07-13T19:09:29GMT+09:00
19:09:30.630,19:09:30.630,true,35.22409162,139.67278519,0.996,7.1107054,1626170970606,2021-07-13T19:09:30GMT+09:00
19:09:31.640,19:09:31.640,true,35.22407168,139.67280554,1.01,7.616586,1626170971606,2021-07-13T19:09:31GMT+09:00
19:09:32.639,19:09:32.639,true,35.22401854,139.67276264,0.999,7.9811106,1626170972613,2021-07-13T19:09:32GMT+09:00
19:09:33.640,19:09:33.640,true,35.2239955,139.67281328,1.001,6.6736336,1626170973000,2021-07-13T19:09:33GMT+09:00
19:09:34.010,19:09:34.010,true,35.22403786,139.67281755,0.37,4.1479907,1626170974000,2021-07-13T19:09:34GMT+09:00
19:09:35.010,19:09:35.010,true,35.2240396,139.67281605,1.0,3.7900925,1626170975000,2021-07-13T19:09:35GMT+09:00
19:09:36.012,19:09:36.012,true,35.22404458,139.67280714,1.002,3.7900925,1626170976000,2021-07-13T19:09:36GMT+09:00
19:09:37.002,19:09:37.002,true,35.22404751,139.67279636,0.99,3.7900925,1626170977000,2021-07-13T19:09:37GMT+09:00
19:09:37.999,19:09:37.999,true,35.22404721,139.67279423,0.997,3.7900925,1626170978000,2021-07-13T19:09:38GMT+09:00
19:09:39.006,19:09:39.006,true,35.22404383,139.67278966,1.007,3.7900925,1626170979000,2021-07-13T19:09:39GMT+09:00
19:09:40.052,19:09:40.052,true,35.22404372,139.67279279,1.046,3.7900925,1626170980000,2021-07-13T19:09:40GMT+09:00
19:09:41.014,19:09:41.014,true,35.22404515,139.67279224,0.962,3.7900925,1626170981000,2021-07-13T19:09:41GMT+09:00
19:09:42.005,19:09:42.005,true,35.22404771,139.67278981,0.991,3.7900925,1626170982000,2021-07-13T19:09:42GMT+09:00
19:09:43.009,19:09:43.009,true,35.22404864,139.67278929,1.004,3.7900925,1626170983000,2021-07-13T19:09:43GMT+09:00
19:09:44.016,19:09:44.016,true,35.22404779,139.67278822,1.007,3.7900925,1626170984000,2021-07-13T19:09:44GMT+09:00
19:09:45.013,19:09:45.013,true,35.22404759,139.67278834,0.997,3.7900925,1626170985000,2021-07-13T19:09:45GMT+09:00
19:09:46.009,19:09:46.009,true,35.22404731,139.67278836,0.996,3.7900925,1626170986000,2021-07-13T19:09:46GMT+09:00
19:09:47.029,19:09:47.029,true,35.22404738,139.67278848,1.02,3.7900925,1626170987000,2021-07-13T19:09:47GMT+09:00
19:09:48.030,19:09:48.030,true,35.22403955,139.67278651,1.001,3.7900925,1626170988000,2021-07-13T19:09:48GMT+09:00
19:09:49.046,19:09:49.046,true,35.22404387,139.67278908,1.016,3.7900925,1626170989000,2021-07-13T19:09:49GMT+09:00
19:09:50.029,19:09:50.029,true,35.22404577,139.67278592,0.983,3.7900925,1626170990000,2021-07-13T19:09:50GMT+09:00
19:09:51.005,19:09:51.005,true,35.22404214,139.67277976,0.976,3.7900925,1626170991000,2021-07-13T19:09:51GMT+09:00
19:09:52.031,19:09:52.031,true,35.22403824,139.67278344,1.026,3.7900925,1626170992000,2021-07-13T19:09:52GMT+09:00
19:09:53.026,19:09:53.026,true,35.22403861,139.67278504,0.995,3.7900925,1626170993000,2021-07-13T19:09:53GMT+09:00
19:09:54.022,19:09:54.022,true,35.22403658,139.67278213,0.996,3.7900925,1626170994000,2021-07-13T19:09:54GMT+09:00
19:09:55.025,19:09:55.025,true,35.22403621,139.67277738,1.003,3.7900925,1626170995000,2021-07-13T19:09:55GMT+09:00
19:09:56.025,19:09:56.025,true,35.22403671,139.6727739,1.0,3.7900925,1626170996000,2021-07-13T19:09:56GMT+09:00
19:09:57.040,19:09:57.040,true,35.22402741,139.6727729,1.015,3.7900925,1626170997000,2021-07-13T19:09:57GMT+09:00
19:09:58.031,19:09:58.031,true,35.22402884,139.67277064,0.991,3.7900925,1626170998000,2021-07-13T19:09:58GMT+09:00
19:09:59.031,19:09:59.031,true,35.22402711,139.67276532,1.0,3.7900925,1626170999000,2021-07-13T19:09:59GMT+09:00
19:10:00.029,19:10:00.029,true,35.22403231,139.67276643,0.998,3.7900925,1626171000000,2021-07-13T19:10:00GMT+09:00
19:10:01.028,19:10:01.028,true,35.22403317,139.67276388,0.999,3.7900925,1626171001000,2021-07-13T19:10:01GMT+09:00
19:10:01.998,19:10:01.998,true,35.22403608,139.67276582,0.97,3.7900925,1626171002000,2021-07-13T19:10:02GMT+09:00
19:10:03.033,19:10:03.033,true,35.22403844,139.6727683,1.035,3.7900925,1626171003000,2021-07-13T19:10:03GMT+09:00
19:10:04.037,19:10:04.037,true,35.22403987,139.67276795,1.004,3.7900925,1626171004000,2021-07-13T19:10:04GMT+09:00
19:10:05.014,19:10:05.014,true,35.2240404,139.67276939,0.977,3.7900925,1626171005000,2021-07-13T19:10:05GMT+09:00
19:10:06.026,19:10:06.026,true,35.22404216,139.67276991,1.012,3.7900925,1626171006000,2021-07-13T19:10:06GMT+09:00
19:10:07.023,19:10:07.023,true,35.2240446,139.67277309,0.997,3.7900925,1626171007000,2021-07-13T19:10:07GMT+09:00
19:10:08.038,19:10:08.038,true,35.22404606,139.67277355,1.015,3.7900925,1626171008000,2021-07-13T19:10:08GMT+09:00
19:10:09.024,19:10:09.024,true,35.22404574,139.67277289,0.986,3.7900925,1626171009000,2021-07-13T19:10:09GMT+09:00
19:10:10.041,19:10:10.041,true,35.22404541,139.67277213,1.017,3.7900925,1626171010000,2021-07-13T19:10:10GMT+09:00
19:10:11.024,19:10:11.024,true,35.22404538,139.67277207,0.983,3.7900925,1626171011000,2021-07-13T19:10:11GMT+09:00
19:10:12.027,19:10:12.027,true,35.22404532,139.67277234,1.003,3.7900925,1626171012000,2021-07-13T19:10:12GMT+09:00
19:10:13.027,19:10:13.027,true,35.22404528,139.67277222,1.0,3.7900925,1626171013000,2021-07-13T19:10:13GMT+09:00
19:10:14.036,19:10:14.036,true,35.22404525,139.67277225,1.009,3.7900925,1626171014000,2021-07-13T19:10:14GMT+09:00
19:10:15.025,19:10:15.025,true,35.22404526,139.67277226,0.989,3.7900925,1626171015000,2021-07-13T19:10:15GMT+09:00
19:10:16.022,19:10:16.022,true,35.22404526,139.67277226,0.997,3.7900925,1626171016000,2021-07-13T19:10:16GMT+09:00
19:10:17.020,19:10:17.020,true,35.22404528,139.67277224,0.998,3.7900925,1626171017000,2021-07-13T19:10:17GMT+09:00
19:10:18.027,19:10:18.027,true,35.22404529,139.67277227,1.007,3.7900925,1626171018000,2021-07-13T19:10:18GMT+09:00
19:10:19.029,19:10:19.029,true,35.22404531,139.67277225,1.002,3.7900925,1626171019000,2021-07-13T19:10:19GMT+09:00
19:10:20.025,19:10:20.025,true,35.22404531,139.67277224,0.996,3.7900925,1626171020000,2021-07-13T19:10:20GMT+09:00
19:10:21.043,19:10:21.043,true,35.22404533,139.67277224,1.018,3.7900925,1626171021000,2021-07-13T19:10:21GMT+09:00
19:10:22.025,19:10:22.025,true,35.22404533,139.67277225,0.982,3.7900925,1626171022000,2021-07-13T19:10:22GMT+09:00
19:10:23.022,19:10:23.022,true,35.22404534,139.67277224,0.997,3.7900925,1626171023000,2021-07-13T19:10:23GMT+09:00
19:10:24.038,19:10:24.038,true,35.22404535,139.67277225,1.016,3.7900925,1626171024000,2021-07-13T19:10:24GMT+09:00
19:10:25.022,19:10:25.022,true,35.22404535,139.67277228,0.984,3.7900925,1626171025000,2021-07-13T19:10:25GMT+09:00
19:10:26.023,19:10:26.023,true,35.22404537,139.67277226,1.001,3.7900925,1626171026000,2021-07-13T19:10:26GMT+09:00
19:10:27.025,19:10:27.025,true,35.2240454,139.67277226,1.002,3.7900925,1626171027000,2021-07-13T19:10:27GMT+09:00
19:10:28.035,19:10:28.035,true,35.22404541,139.67277227,1.01,3.7900925,1626171028000,2021-07-13T19:10:28GMT+09:00
19:10:29.026,19:10:29.026,true,35.2240454,139.67277226,0.991,3.7900925,1626171029000,2021-07-13T19:10:29GMT+09:00
19:10:30.031,19:10:30.031,true,35.22404542,139.6727723,1.005,3.7900925,1626171030000,2021-07-13T19:10:30GMT+09:00
19:10:31.024,19:10:31.024,true,35.22404541,139.67277232,0.993,3.7900925,1626171031000,2021-07-13T19:10:31GMT+09:00
19:10:32.029,19:10:32.029,true,35.22404541,139.67277234,1.005,3.7900925,1626171032000,2021-07-13T19:10:32GMT+09:00
19:10:33.033,19:10:33.033,true,35.22404541,139.67277234,1.004,3.7900925,1626171033000,2021-07-13T19:10:33GMT+09:00
19:10:34.029,19:10:34.029,true,35.22404542,139.67277235,0.996,3.7900925,1626171034000,2021-07-13T19:10:34GMT+09:00
19:10:35.026,19:10:35.026,true,35.22404539,139.67277233,0.997,3.7900925,1626171035000,2021-07-13T19:10:35GMT+09:00
