衛星状態更新時間,constellationType,svid,usedinfix,basebandCn0DbHz,carrierFrequencyHz,cn0DbHz,elevationDegrees
19:16:09.982,GPS,13,false,42.1,1.57542003E9,46.8,66.0
19:16:09.982,GPS,15,false,39.1,1.57542003E9,43.8,59.0
19:16:09.985,GPS,13,false,42.1,1.57542003E9,46.8,66.0
19:16:09.985,GPS,15,false,39.1,1.57542003E9,43.8,59.0
19:16:10.024,GPS,2,false,30.8,1.57542003E9,35.5,16.0
19:16:10.024,GPS,5,false,38.2,1.57542003E9,42.9,71.0
19:16:10.024,GPS,11,false,33.2,1.57542003E9,37.9,0.0
19:16:10.024,GPS,13,false,41.2,1.57542003E9,45.9,66.0
19:16:10.024,GPS,14,false,29.7,1.57542003E9,34.4,11.0
19:16:10.024,GPS,15,false,39.1,1.57542003E9,43.8,59.0
19:16:10.024,GPS,18,false,35.2,1.57542003E9,39.9,30.0
19:16:10.024,GPS,20,false,37.0,1.57542003E9,41.7,46.0
19:16:10.024,GPS,23,false,29.0,1.57542003E9,33.7,6.0
19:16:10.024,GPS,24,false,34.8,1.57542003E9,39.5,27.0
19:16:10.024,GPS,29,false,29.399998,1.57542003E9,34.1,9.0
19:16:10.024,GPS,30,false,31.099998,1.57542003E9,35.8,23.0
19:16:10.024,GLONASS,2,false,29.8,1.59975002E9,35.8,50.0
19:16:10.024,GLONASS,18,false,33.8,1.60031245E9,39.8,35.0
19:16:10.024,GLONASS,13,false,24.6,1.60087501E9,30.6,19.0
19:16:10.024,GLONASS,12,false,38.7,1.60143744E9,44.7,42.0
19:16:10.024,GLONASS,1,false,27.7,1.60256256E9,33.7,13.0
19:16:10.024,GLONASS,3,false,40.8,1.60481254E9,46.8,30.0
19:16:10.024,BEIDOU,13,false,36.7,1.56109798E9,45.9,0.0
19:16:10.024,BEIDOU,8,false,36.899998,1.56109798E9,46.1,0.0
19:16:10.024,BEIDOU,193,false,34.7,1.57542003E9,39.4,0.0
19:16:10.024,BEIDOU,194,false,30.8,1.57542003E9,35.5,0.0
19:16:10.024,BEIDOU,195,false,32.6,1.57542003E9,37.3,0.0
19:16:10.046,GPS,2,false,30.8,1.57542003E9,35.5,16.0
19:16:10.046,GPS,5,false,38.2,1.57542003E9,42.9,71.0
19:16:10.046,GPS,11,false,33.2,1.57542003E9,37.9,0.0
19:16:10.046,GPS,13,false,41.2,1.57542003E9,45.9,66.0
19:16:10.046,GPS,14,false,29.7,1.57542003E9,34.4,11.0
19:16:10.046,GPS,15,false,39.1,1.57542003E9,43.8,59.0
19:16:10.046,GPS,18,false,35.2,1.57542003E9,39.9,30.0
19:16:10.046,GPS,20,false,37.0,1.57542003E9,41.7,46.0
19:16:10.046,GPS,23,false,29.0,1.57542003E9,33.7,6.0
19:16:10.046,GPS,24,false,34.8,1.57542003E9,39.5,27.0
19:16:10.046,GPS,29,false,29.399998,1.57542003E9,34.1,9.0
19:16:10.046,GPS,30,false,31.099998,1.57542003E9,35.8,23.0
19:16:10.046,GLONASS,2,false,29.8,1.59975002E9,35.8,50.0
19:16:10.046,GLONASS,18,false,33.8,1.60031245E9,39.8,35.0
19:16:10.046,GLONASS,13,false,24.6,1.60087501E9,30.6,19.0
19:16:10.046,GLONASS,12,false,38.7,1.60143744E9,44.7,42.0
19:16:10.046,GLONASS,1,false,27.7,1.60256256E9,33.7,13.0
19:16:10.046,GLONASS,3,false,40.8,1.60481254E9,46.8,30.0
19:16:10.046,BEIDOU,13,false,36.7,1.56109798E9,45.9,0.0
19:16:10.046,BEIDOU,8,false,36.899998,1.56109798E9,46.1,0.0
19:16:10.046,BEIDOU,193,false,34.7,1.57542003E9,39.4,0.0
19:16:10.046,BEIDOU,194,false,30.8,1.57542003E9,35.5,0.0
19:16:10.046,BEIDOU,195,false,32.6,1.57542003E9,37.3,0.0
19:17:29.607,GPS,5,false,34.6,1.57542003E9,39.3,71.0
19:17:29.607,BEIDOU,6,false,33.3,1.56109798E9,42.5,0.0
